11513	13417	12035	14562
1525	12932	12349	13164
4167	13591	12610	15614
12725	12873	12391	13532
11822	11993	12879	14447
12171	12439	10233	13635
12266	13063	12550	15383
8769	12041	13258	13916
12912	13028	11573	14226
7361	12424	7136	13274
11822	12879	12025	14447
3368	13515	12525	14496
11477	11478	12798	15415
12265	12962	8458	13661
11953	15193	13521	15214
11757	12527	11911	12673
2986	12763	12188	13536
11636	12631	12453	13960
1714	1592	13119	13964
11704	12213	12190	12746
11801	12244	12060	12542
11514	14573	11934	14740
2873	12143	12626	14457
12488	13076	2454	14838
11749	13197	12860	15786
11703	12213	12190	13954
10107	12945	13114	13551
12063	12868	5417	13229
5039	12399	12369	13355
12328	13072	4751	13093
7247	6086	6171	12665
12584	12955	9282	13836
12169	4489	13835	15126
8281	8033	7926	13379
8148	13530	12456	13877
8769	13258	8534	13916
12429	14058	13400	15735
11919	13061	14094	15009
5566	12954	7187	13607
8432	12860	12489	14552
12647	14230	8225	14435
3478	3275	3773	13134
3275	3628	3773	13134
3652	14144	12195	14339
4826	12874	12361	13185
2370	2201	12794	13247
8762	12537	14176	15146
12749	13100	8414	13547
12469	12347	13496	16523
11785	12259	12033	12617
12425	12670	11774	15996
2518	13474	12536	14450
12517	15104	14598	16151
2361	13146	11941	13805
11919	14094	12454	15009
12474	13407	12096	14032
12020	12860	11842	13197
3478	3773	12238	14468
11652	13077	11967	13519
12009	13247	1725	13897
12061	12639	11802	12900
10843	12732	13453	13919
12062	13400	12429	14058
12013	12273	11657	13922
3298	12272	12532	14263
10387	14073	10106	15082
10387	12436	14073	15082
12897	13114	12159	15038
10345	12221	10479	13209
1518	14470	15248	16591
10945	12812	12564	14426
12295	13116	8214	13638
11937	12675	11739	12803
13501	15227	5019	15991
12145	12662	11685	12692
13320	14228	13091	16044
11483	13059	11444	13731
9897	12630	12410	15577
12121	12236	11584	15505
11963	13028	12912	14226
6871	11979	12400	14985
12375	10463	13453	16395
12149	13519	13077	16239
12764	13609	7601	14180
11964	13257	11559	13455
8432	8153	12489	12860
2094	13178	12120	13471
3817	12755	12754	16226
7520	7716	13031	13786
9726	11961	9466	13380
11806	12469	12347	13496
12188	12763	2986	14424
12181	13345	2434	13367
4686	15813	13192	15842
9649	13836	9513	15199
